file_a,file_b,cochange_count,jaccard
app/globals.css,components/DashboardClient.tsx,4,0.307692
app/globals.css,components/PurchasedItem.tsx,4,0.235294
app/globals.css,next.config.ts,2,0.125000
app/globals.css,package.json,5,0.217391
auth.config.ts,package.json,2,0.133333
auth.config.ts,proxy.ts,2,1.000000
components/DashboardClient.tsx,components/PurchasedItem.tsx,2,0.200000
components/PurchasedItem.tsx,package.json,3,0.150000
next.config.ts,package.json,3,0.176471
package.json,proxy.ts,2,0.133333
app/api/products/[id]/route.ts,app/api/products/[id]/stock/route.ts,3,0.272727
app/api/products/[id]/route.ts,app/api/products/route.ts,10,0.909091
app/api/products/[id]/route.ts,components/GachaHistory.tsx,2,0.181818
app/api/products/[id]/route.ts,components/GachaRecentFeed.tsx,2,0.133333
app/api/products/[id]/stock/route.ts,app/api/products/route.ts,3,0.250000
app/api/products/route.ts,components/GachaHistory.tsx,2,0.166667
app/api/products/route.ts,components/GachaRecentFeed.tsx,2,0.125000
components/GachaHistory.tsx,components/GachaRecentFeed.tsx,3,0.428571
.env.example,app/api/admin/products/[id]/featured/route.ts,2,0.250000
.env.example,app/api/products/[id]/route.ts,2,0.153846
.env.example,app/api/products/route.ts,2,0.142857
.env.example,docker-compose.yml,2,0.333333
app/api/admin/currency-settings/route.ts,app/api/admin/products/[id]/duplicate/route.ts,2,0.250000
app/api/admin/currency-settings/route.ts,app/api/admin/products/[id]/featured/route.ts,2,0.250000
app/api/admin/currency-settings/route.ts,app/api/admin/settings/route.ts,3,0.600000
app/api/admin/currency-settings/route.ts,app/api/admin/users/[id]/route.ts,4,0.500000
app/api/admin/currency-settings/route.ts,app/api/cart/checkout/route.ts,3,0.333333
app/api/admin/currency-settings/route.ts,app/api/products/[id]/route.ts,3,0.250000
app/api/admin/currency-settings/route.ts,app/api/products/route.ts,4,0.333333
app/api/admin/currency-settings/route.ts,lib/auth.ts,2,0.333333
app/api/admin/products/[id]/duplicate/route.ts,app/api/admin/products/[id]/featured/route.ts,3,0.428571
app/api/admin/products/[id]/duplicate/route.ts,app/api/admin/settings/route.ts,2,0.333333
app/api/admin/products/[id]/duplicate/route.ts,app/api/cart/checkout/route.ts,2,0.200000
app/api/admin/products/[id]/duplicate/route.ts,app/api/products/route.ts,2,0.142857
app/api/admin/products/[id]/duplicate/route.ts,app/api/purchase/route.ts,2,0.200000
app/api/admin/products/[id]/duplicate/route.ts,lib/auth.ts,2,0.333333
app/api/admin/products/[id]/featured/route.ts,app/api/admin/settings/route.ts,2,0.333333
app/api/admin/products/[id]/featured/route.ts,app/api/admin/users/[id]/route.ts,2,0.200000
app/api/admin/products/[id]/featured/route.ts,app/api/products/[id]/route.ts,2,0.153846
app/api/admin/products/[id]/featured/route.ts,app/api/products/route.ts,2,0.142857
app/api/admin/settings/route.ts,app/api/admin/users/[id]/route.ts,2,0.250000
app/api/admin/settings/route.ts,app/api/products/route.ts,2,0.166667
app/api/admin/settings/route.ts,lib/auth.ts,2,0.500000
app/api/admin/users/[id]/route.ts,app/api/cart/checkout/route.ts,3,0.272727
app/api/admin/users/[id]/route.ts,app/api/products/[id]/route.ts,5,0.416667
app/api/admin/users/[id]/route.ts,app/api/products/route.ts,5,0.384615
app/api/admin/users/[id]/route.ts,app/api/purchase/route.ts,3,0.272727
app/api/admin/users/[id]/route.ts,app/api/upload/route.ts,3,0.300000
app/api/cart/checkout/route.ts,app/api/gacha/grid/roll/route.ts,2,0.285714
app/api/cart/checkout/route.ts,app/api/products/[id]/route.ts,3,0.214286
app/api/cart/checkout/route.ts,app/api/products/[id]/stock/route.ts,2,0.222222
app/api/cart/checkout/route.ts,app/api/products/route.ts,3,0.200000
app/api/cart/checkout/route.ts,app/api/purchase/route.ts,2,0.166667
app/api/gacha/roll/route.ts,app/api/season-pass/claim/route.ts,2,0.400000
app/api/gacha/roll/route.ts,app/api/upload/route.ts,2,0.222222
app/api/gacha/roll/route.ts,docker-compose.yml,2,0.333333
app/api/gacha/roll/route.ts,lib/auth.ts,2,0.333333
app/api/products/[id]/route.ts,app/api/purchase/route.ts,4,0.307692
app/api/products/[id]/route.ts,app/api/upload/route.ts,3,0.230769
app/api/products/[id]/stock/route.ts,app/api/purchase/route.ts,2,0.222222
app/api/products/route.ts,app/api/purchase/route.ts,4,0.285714
app/api/products/route.ts,app/api/upload/route.ts,3,0.214286
app/api/products/route.ts,lib/auth.ts,2,0.166667
app/api/purchase/route.ts,app/api/upload/route.ts,3,0.300000
app/api/season-pass/claim/route.ts,docker-compose.yml,2,0.666667
app/api/season-pass/claim/route.ts,lib/auth.ts,2,0.666667
docker-compose.yml,lib/auth.ts,2,0.500000
app/gacha-grid/[machineId]/page.tsx,app/gacha-grid/page.tsx,2,0.666667
app/gacha-grid/[machineId]/page.tsx,app/gacha/[id]/page.tsx,2,1.000000
app/gacha-grid/[machineId]/page.tsx,app/gacha/page.tsx,2,0.400000
app/gacha-grid/[machineId]/page.tsx,app/gacha/play/page.tsx,2,0.500000
app/gacha-grid/[machineId]/page.tsx,app/gachapons/page.tsx,2,1.000000
app/gacha-grid/[machineId]/page.tsx,app/help/page.tsx,2,0.400000
app/gacha-grid/[machineId]/page.tsx,app/layout.tsx,2,0.153846
app/gacha-grid/[machineId]/page.tsx,app/page.tsx,2,0.200000
app/gacha-grid/[machineId]/page.tsx,app/shop/page.tsx,2,0.250000
app/gacha-grid/page.tsx,app/gacha/[id]/page.tsx,2,0.666667
app/gacha-grid/page.tsx,app/gacha/page.tsx,3,0.600000
app/gacha-grid/page.tsx,app/gacha/play/page.tsx,3,0.750000
app/gacha-grid/page.tsx,app/gachapons/page.tsx,2,0.666667
app/gacha-grid/page.tsx,app/help/page.tsx,2,0.333333
app/gacha-grid/page.tsx,app/layout.tsx,2,0.142857
app/gacha-grid/page.tsx,app/page.tsx,2,0.181818
app/gacha-grid/page.tsx,app/shop/page.tsx,2,0.222222
app/gacha/[id]/page.tsx,app/gacha/page.tsx,2,0.400000
app/gacha/[id]/page.tsx,app/gacha/play/page.tsx,2,0.500000
app/gacha/[id]/page.tsx,app/gachapons/page.tsx,2,1.000000
app/gacha/[id]/page.tsx,app/help/page.tsx,2,0.400000
app/gacha/[id]/page.tsx,app/layout.tsx,2,0.153846
app/gacha/[id]/page.tsx,app/page.tsx,2,0.200000
app/gacha/[id]/page.tsx,app/shop/page.tsx,2,0.250000
app/gacha/page.tsx,app/gacha/play/page.tsx,3,0.500000
app/gacha/page.tsx,app/gachapons/page.tsx,2,0.400000
app/gacha/page.tsx,app/help/page.tsx,2,0.250000
app/gacha/page.tsx,app/layout.tsx,4,0.285714
app/gacha/page.tsx,app/page.tsx,2,0.153846
app/gacha/page.tsx,app/shop/page.tsx,2,0.181818
app/gacha/play/page.tsx,app/gachapons/page.tsx,2,0.500000
app/gacha/play/page.tsx,app/help/page.tsx,2,0.285714
app/gacha/play/page.tsx,app/layout.tsx,3,0.214286
app/gacha/play/page.tsx,app/page.tsx,3,0.272727
app/gacha/play/page.tsx,app/shop/page.tsx,3,0.333333
app/gachapons/page.tsx,app/help/page.tsx,2,0.400000
app/gachapons/page.tsx,app/layout.tsx,2,0.153846
app/gachapons/page.tsx,app/page.tsx,2,0.200000
app/gachapons/page.tsx,app/shop/page.tsx,2,0.250000
app/help/page.tsx,app/layout.tsx,2,0.125000
app/help/page.tsx,app/page.tsx,4,0.363636
app/help/page.tsx,app/shop/page.tsx,2,0.181818
app/layout.tsx,app/page.tsx,5,0.277778
app/layout.tsx,app/shop/page.tsx,6,0.400000
app/layout.tsx,components/AnnouncementPopupWrapper.tsx,2,0.153846
app/layout.tsx,components/TurnstileWidget.tsx,2,0.153846
app/page.tsx,app/shop/page.tsx,4,0.285714
app/page.tsx,components/TurnstileWidget.tsx,2,0.200000
app/shop/page.tsx,components/TurnstileWidget.tsx,2,0.250000
.env.example,app/admin/audit-logs/page.tsx,2,0.153846
.env.example,app/profile/settings/page.tsx,2,0.333333
.env.example,components/FloatingChatButton.tsx,2,0.250000
.env.example,components/Navbar.tsx,2,0.095238
.env.example,components/NavigationDrawer.tsx,2,0.222222
.env.example,lib/actions/user.ts,2,0.333333
.env.example,lib/validations/profile.ts,2,0.285714
app/admin/audit-logs/page.tsx,app/api/register/route.ts,3,0.250000
app/admin/audit-logs/page.tsx,app/layout.tsx,4,0.210526
